Block,Variable code,Indicator,Unit,Dataset code,Prefix,Table,Breakdown,Investor,Type of construction,Direction of flow,"Import/
Export",Cohesion region,Transaction,Employment type,Cons/Ncons,Sector,Stock flow,Asset liability,Financial instrument,Age group,Sex,Consumer product,Measure,Unit2,Item,Investment,Seasonal adjustment,Indices,Activity,Statistical region,Exchange rate,NA_item,Flow,Indicators,Product,Reporter,Time frequency
8,K_AGRI,Gross fixed capital formation: Products of agriculture,"contant prices, 2010 euro",SURS--0300230S--P51G_N115G--L--Y--Q,SURS,0300230S,,,,,,,P51G_N115G,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
8,K_IP,Gross fixed capital formation: Intellectual property products,"contant prices, 2010 euro",SURS--0300230S--P51G_N117G--L--Y--Q,SURS,0300230S,,,,,,,P51G_N117G,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
8,KV_INVENTORY,Changes in inventories,"current prices, million euro",SURS--0300230S--P52--V--Y--Q,SURS,0300230S,,,,,,,P52,,,,,,,,,,V,,,,Y,,,,,,,,,,Q
8,#N/A,Changes in inventories,"contant prices, 2010 euro",SURS--0300230S--P52--L--Y--Q,SURS,0300230S,,,,,,,P52,,,,,,,,,,L,,,,Y,,,,,,,,,,Q
8,INTEREST_M,"Base interest rate, Slovenia, monthly",percentage,SURS--H287S--1--M,SURS,H287S,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,M
8,INTEREST_A,"Base interest rate, Slovenia, annual",percentage,SURS--H287S--2--M,SURS,H287S,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,M
9,X_SERV,Exports of services,"Constant prices, reference year 2010 (mio EUR)",SURS--P62--V--Q,SURS,,,,,,,,P62,,,,,,,,,,V,,,,,,,,,,,,,,Q
9,X_GDS,Exports of goods,"Constant prices, reference year 2010 (mio EUR)",SURS--P61--V--Q,SURS,,,,,,,,P61,,,,,,,,,,V,,,,,,,,,,,,,,Q
10,#N/A,"Exports by the Standard International Trade Classification (all countries, all SITC)",,SURS--2490301S--1--EUR--M,SURS,2490301S,,,,,1,,,,,,,,,,,,,EUR,,,,,,,,,,,,,M
10,#N/A,"Imports by the Standard International Trade Classification (all countries, all SITC)",,SURS--2490301S--2--EUR--M,SURS,2490301S,,,,,2,,,,,,,,,,,,,EUR,,,,,,,,,,,,,M
