Variable code,Indicator,Link,Query code,Time frequency,Dataset code
,Imports of machinery and equipment (Group 7) excluding automobiles (SMTK classification),,,M,UMAR-SURS--JK001--V--M
,Persons in employment,,,M,UMAR-SURS--DR002--SK--M
,Gross wage per worker in public sector,,,M,UMAR-SURS--DR003--JS--M
,"Gross wage per worker, Public and private sector - TOTAL",,,M,UMAR-SURS--DR003--SK--M
,Gross wage per worker in private sector,,,M,UMAR-SURS--DR003--ZS--M
,"Realna masa neto pla\u010d, 2010=100",,,M,UMAR-SURS--MK003--SK--M
,Persons in employment excluding farmers,,,M,UMAR-SURS--DR001--SK--M
,Registered unemployment rate,,,M,UMAR-ZRSZ--DR004--SK--M
